pelicula,lat,lon
Rapido y furioso,34.0207305,-118.6919213
2 fast 2 furious,25.7825453,-80.2994988
Reto Tokio,35.5062905,138.6486177
Rapidos y furiosos 4,23.3139072,-111.647081
Rapidos y furiosos 5,-22.9132525,-43.7261722
Rapidos y furiosos 6,11.2611896,-60.8562799
